feature,importance,modality
li_avg_sent_len,0.0,Linguistic
li_max_word_len,0.0,Linguistic
freq_mean_log_freq,0.0,Linguistic
li_articulation_rate,0.0,Linguistic
li_speaking_time_ratio,0.0,Linguistic
li_word_dur_cv,0.0,Linguistic
li_noun_finding_pause,0.0,Linguistic
syn_noun_ratio,0.0,Linguistic
syn_verb_ratio,0.0,Linguistic
syn_adj_ratio,0.0,Linguistic
syn_adv_ratio,0.0,Linguistic
syn_noun_verb_ratio,0.0,Linguistic
syn_mean_dep_distance,0.0,Linguistic
syn_mean_parse_depth,0.0,Linguistic
syn_subordinate_clause_ratio,0.0,Linguistic
syn_clauses_per_sentence,0.0,Linguistic
syn_idea_density,0.0,Linguistic
syn_entity_density,0.0,Linguistic
li_speech_rate_wps,0.0,Linguistic
li_long_pause_ratio,0.0,Linguistic
li_long_pause_count,0.0,Linguistic
li_pronoun_ratio,0.0,Linguistic
li_std_sent_len,0.0,Linguistic
li_num_sentences,0.0,Linguistic
li_lexical_density,0.0,Linguistic
li_bigram_rep,0.0,Linguistic
ac_shimmer_approx,0.0,Acoustic
li_filler_ratio,0.0,Linguistic
li_punct_density,0.0,Linguistic
li_max_pause,0.0,Linguistic
li_commas_per_sentence,0.0,Linguistic
li_question_ratio,0.0,Linguistic
sem_avg_polysemy,0.0,Linguistic
li_avg_word_dur,0.0,Linguistic
li_std_word_dur,0.0,Linguistic
li_avg_gap,0.0,Linguistic
li_top_word_dominance,0.0,Linguistic
ac_mfcc1_mean,0.0,Acoustic
ac_rms_std,0.0,Acoustic
ac_dmfcc3_std,0.0,Acoustic
ac_mfcc13_mean,0.0,Acoustic
ac_mfcc13_std,0.0,Acoustic
ac_dmfcc1_mean,0.0,Acoustic
ac_dmfcc1_std,0.0,Acoustic
ac_dmfcc2_mean,0.0,Acoustic
ac_dmfcc2_std,0.0,Acoustic
ac_dmfcc3_mean,0.0,Acoustic
ac_dmfcc4_mean,0.0,Acoustic
ac_dmfcc9_mean,0.0,Acoustic
ac_dmfcc4_std,0.0,Acoustic
ac_dmfcc5_mean,0.0,Acoustic
ac_dmfcc5_std,0.0,Acoustic
ac_dmfcc6_mean,0.0,Acoustic
ac_dmfcc6_std,0.0,Acoustic
ac_dmfcc7_mean,0.0,Acoustic
ac_dmfcc8_mean,0.0,Acoustic
ac_mfcc12_std,0.0,Acoustic
