Model,Accuracy,Precision,Recall,F1,ROC-AUC,GridCV_AUC,Best Params
XGBoost,0.5405405405405406,0.6,0.5943396226415094,0.5971563981042654,0.5388106042512539,0.5557824507793548,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 150, 'clf__subsample': 0.8}"
Random Forest,0.5351351351351351,0.5943396226415094,0.5943396226415094,0.5943396226415094,0.519703845235252,0.5385155472895411,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 400}"
SVM,0.4486486486486487,0.5263157894736842,0.37735849056603776,0.43956043956043955,0.5022689276331502,0.5442995644419792,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
